Country,SiteID,studynumber,Measure_Year,Measure_Month,Latitude,Longitude,Elevation,IGBP_FromPaper,Rs_Norm,LogRs,Pm,Tm,LAI,BD,BS,C/N,CaCO3,CEC,Clay%,Sand%,Silt%,N,PH,GLC2000,GSOC,Rs_Estimate
China,CN-BYX,2238,2001,6,43.75,116.25,1091,GRA,0.758,-0.277071893,64.1,21,0.5,1.5,100,7,24.4,14,17.5,48.4,34.1,0.14,8.7,3.0267,4,1.375579367
China,CN-BYX,2238,2001,7,43.75,116.25,1091,GRA,0.975,-0.025317808,36.9,23.4,0.5,1.5,100,7,24.4,14,17.5,48.4,34.1,0.14,8.7,3.0267,4,1.594058054
China,CN-BYX,2238,2001,8,43.75,116.25,1091,GRA,0.676,-0.391562203,26.3,21.2,0.5,1.5,100,7,24.4,14,17.5,48.4,34.1,0.14,8.7,3.0267,4,1.392581195
China,CN-BYX,2238,2001,9,43.75,116.25,1091,GRA,0.408,-0.896488105,14.5,15.3,0.4,1.5,100,7,24.4,14,17.5,48.4,34.1,0.14,8.7,3.0267,4,0.969263281
China,CN-BYX,2238,2001,10,43.75,116.25,1091,GRA,0.304,-1.190727578,11.4,5.6,0.2,1.5,100,7,24.4,14,17.5,48.4,34.1,0.14,8.7,3.0267,4,0.534195715
China,CN-FKS,6063,2009,4,44.25,87.75,465,CRO,1.27,0.2390169,61.9,11.8,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,1.260212049
China,CN-FKS,6063,2009,5,44.25,87.75,465,CRO,1.332,0.286681572,72.3,15.4,0.2,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,1.577908128
China,CN-FKS,6063,2009,6,44.25,87.75,465,CRO,2.257,0.814036498,40.6,20,0.2,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,2.103010732
China,CN-FKS,6063,2009,7,44.25,87.75,465,CRO,3.432,1.233143182,10,23.4,0.4,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,2.600490289
China,CN-FKS,6063,2009,8,44.25,87.75,465,CRO,2.285,0.826366024,13.3,21.9,0.3,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,2.367950943
China,CN-FKS,6063,2009,9,44.25,87.75,465,CRO,1.647,0.498955451,37.6,16.7,0.3,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,1.711354222
China,CN-FKS,6063,2009,10,44.25,87.75,465,CRO,0.528,-0.638658995,19.8,9.8,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,1.112244449
China,CN-FKS,6374,2010,5,44.25,87.75,465,CRO,2.419,0.883354232,30.1,15.2,0.2,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,1.558322621
China,CN-FKS,6374,2010,6,44.25,87.75,465,CRO,1.667,0.511025604,32.6,21.8,0.2,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,2.353209168
China,CN-FKS,6374,2010,7,44.25,87.75,465,CRO,1.749,0.559044196,18.4,23.6,0.4,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,2.633174098
China,CN-FKS,6374,2010,8,44.25,87.75,465,CRO,1.474,0.387979794,19.1,21.9,0.3,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,2.367950943
China,CN-FKS,6374,2010,9,44.25,87.75,465,CRO,1.121,0.114221144,3.5,17.8,0.3,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,1.833047716
China,CN-FKS,6374,2010,10,44.25,87.75,465,CRO,0.974,-0.026343975,28.9,8.8,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,2.06401,1,1.044909209
China,CN-HBA,5741,2008,5,37.75,101.25,3320,GRA,0.07,-2.659260037,49.6,5.5,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.264095694
China,CN-HBA,5741,2008,6,37.75,101.25,3320,GRA,0.163,-1.814005078,76.9,7.8,1.1,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.455898157
China,CN-HBA,5741,2008,7,37.75,101.25,3320,GRA,0.252,-1.378326191,106.1,9.9,1.6,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.65633114
China,CN-HBA,5741,2008,8,37.75,101.25,3320,GRA,0.27,-1.30933332,88.8,7.8,1.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.455898157
China,CN-HBA,5741,2008,9,37.75,101.25,3320,GRA,0.138,-1.980501594,92.2,5.1,0.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.233417781
China,CN-HBA,5979,2007,5,37.75,101.25,3320,GRA,1.767,0.569283193,49.9,6.1,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.311549156
China,CN-HBA,5979,2007,6,37.75,101.25,3320,GRA,1.935,0.660107326,88.5,7.5,1.1,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.429317418
China,CN-HBA,5979,2007,7,37.75,101.25,3320,GRA,2.783,1.023529483,110.2,9,1.6,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.567257066
China,CN-HBA,5979,2007,8,37.75,101.25,3320,GRA,2.121,0.751887676,116.4,9.7,1.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.636109226
China,CN-HBA,5979,2007,9,37.75,101.25,3320,GRA,1.79,0.58221562,80.8,4.3,0.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.174277424
China,CN-HBA,5979,2007,10,37.75,101.25,3320,GRA,1.593,0.465619031,43.2,-2.2,0.2,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,0.787748029
China,CN-HBA,6289,2008,5,37.75,101.25,3320,GRA,0.362,-1.016111067,49.6,5.5,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.264095694
China,CN-HBA,6289,2008,6,37.75,101.25,3320,GRA,0.736,-0.30652516,76.9,7.8,1.1,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.455898157
China,CN-HBA,6289,2008,7,37.75,101.25,3320,GRA,1.254,0.226338442,106.1,9.9,1.6,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.65633114
China,CN-HBA,6289,2008,8,37.75,101.25,3320,GRA,1.164,0.151862349,88.8,7.8,1.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.455898157
China,CN-HBA,6289,2008,9,37.75,101.25,3320,GRA,0.566,-0.569161201,92.2,5.1,0.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.233417781
China,CN-HBA,6289,2009,5,37.75,101.25,3320,GRA,0.238,-1.435484605,64.4,4.3,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.174277424
China,CN-HBA,6289,2009,6,37.75,101.25,3320,GRA,0.894,-0.112049504,75.4,8.4,1.1,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.510551778
China,CN-HBA,6289,2009,7,37.75,101.25,3320,GRA,0.999,-0.0010005,101.4,10,1.6,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.666535632
China,CN-HBA,6289,2009,8,37.75,101.25,3320,GRA,1.392,0.330741562,113.8,8,1.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.473892706
China,CN-HBA,6289,2009,9,37.75,101.25,3320,GRA,0.91,-0.094310679,88.6,5.4,0.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,8.97826,4,1.256355413
China,CN-HHR,2893,2010,4,38.25,100.25,3038,GRA,2.452,0.896904018,4.9,-1.5,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,4.27491,4,0.822355085
China,CN-HHR,2893,2010,5,38.25,100.25,3038,GRA,3.014,1.1032681,46,5.5,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,4.27491,4,1.264095694
China,CN-HHR,2893,2010,6,38.25,100.25,3038,GRA,4.168,1.427436304,29.3,10.2,1.2,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,4.27491,4,1.68713361
China,CN-HHR,2893,2010,7,38.25,100.25,3038,GRA,4.773,1.562975038,44.8,14.4,2.2,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,4.27491,4,2.183643911
China,CN-HHR,2893,2010,8,38.25,100.25,3038,GRA,4.238,1.44409146,56.5,11.8,1.7,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,4.27491,4,1.861351804
China,CN-HHR,2893,2010,9,38.25,100.25,3038,GRA,2.943,1.079429469,38.3,5.9,0.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,4.27491,4,1.295536636
China,CN-HHR,2893,2010,10,38.25,100.25,3038,GRA,1.578,0.456158222,19.9,-0.7,0.3,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,4.27491,4,0.863771511
China,CN-JGB,5512,2005,5,45.25,84.75,283,MF,1.919,0.651804217,14.5,20.9,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,1.810647471
China,CN-JGB,5512,2005,6,45.25,84.75,283,MF,2.556,0.938443537,9,26.8,0.2,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,2.997859398
China,CN-JGB,5512,2005,7,45.25,84.75,283,MF,3.544,1.265256033,31.8,29.5,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,3.775906552
China,CN-JGB,5512,2005,8,45.25,84.75,283,MF,2.28,0.824175443,16.7,25,0.2,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,2.57042306
China,CN-JGB,5512,2005,9,45.25,84.75,283,MF,1.931,0.658038003,10.7,22,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,1.98911636
China,CN-JGB,5512,2005,10,45.25,84.75,283,MF,1.618,0.481190819,6.4,11.8,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,0.831934556
China,CN-JGB,5512,2006,5,45.25,84.75,283,MF,2.117,0.749999992,20.8,20.5,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,1.749798258
China,CN-JGB,5512,2006,6,45.25,84.75,283,MF,2.858,1.05012208,18.2,27,0.2,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,3.049539208
China,CN-JGB,5512,2006,7,45.25,84.75,283,MF,4.726,1.553079179,12.2,28.1,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,3.350121119
China,CN-JGB,5512,2006,8,45.25,84.75,283,MF,5.222,1.65288047,6.2,27.1,0.2,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,3.075712249
China,CN-JGB,5512,2006,9,45.25,84.75,283,MF,3.184,1.158138268,10.1,20,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,1.676604303
China,CN-JGB,5512,2006,10,45.25,84.75,283,MF,1.955,0.670390193,14.6,13,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,0.921779259
China,CN-KLM,6598,2005,5,45.75,84.75,917,CRO,1.874,0.628075184,12.8,17,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,1.743718671
China,CN-KLM,6598,2005,6,45.75,84.75,917,CRO,2.547,0.934916196,7.2,22.8,0.1,1.4,80,12,0,9,13,75,12,0.02,6.8,1,1,2.504852874
