Country,Measure_Year,Measure_Month,Latitude,Longitude,Elevation,IGBP_FromPaper,IGBP_group,Rs_Norm,lnRs,LogRs,Pm,Tm,Tm2,LAI,BD,BS,C/N,CaCO3,CEC,Clay%,Sand%,Silt%,N,PH,GLC2000,GSOC
China,2005,6,42.75,120.75,377,BSV,BSV,0.831,-0.185125484,-0.080398976,73.1,19.5,380.25,0.4,1.4,95,10,5,27,10,80,10,0.05,8,3.75294,5
China,2005,7,42.75,120.75,377,BSV,BSV,0.836,-0.179126666,-0.077793723,100.2,23.8,566.44,0.9,1.4,95,10,5,27,10,80,10,0.05,8,3.75294,5
China,2005,8,42.75,120.75,377,BSV,BSV,0.841,-0.173163619,-0.075204004,114,22.5,506.25,1.2,1.4,95,10,5,27,10,80,10,0.05,8,3.75294,5
China,2005,9,42.75,120.75,377,BSV,BSV,0.624,-0.471604911,-0.20481541,49.8,17.5,306.25,0.6,1.4,95,10,5,27,10,80,10,0.05,8,3.75294,5
China,2006,5,39.25,109.25,1350,BSV,BSV,0.473,-0.74865989,-0.325138859,54.5,16.3,265.69,0.2,,,,,,,,,,,4.08044,0
China,2006,5,39.25,109.25,1350,BSV,BSV,0.472,-0.750776293,-0.326058001,54.5,16.3,265.69,0.2,,,,,,,,,,,4.08044,0
China,2006,5,39.25,110.25,1192,BSV,BSV,1.848,0.614103973,0.266701967,62.1,17.3,299.29,0.2,,,,,,,,,,,3.37183,0
China,2006,5,39.25,110.25,1192,BSV,BSV,0.509,-0.675307262,-0.293282218,62.1,17.3,299.29,0.2,,,,,,,,,,,3.37183,0
China,2006,6,39.25,109.25,1350,BSV,BSV,0.638,-0.449416996,-0.195179321,27.2,21.2,449.44,0.2,,,,,,,,,,,4.08044,0
China,2006,6,39.25,109.25,1350,BSV,BSV,0.618,-0.481266822,-0.209011525,27.2,21.2,449.44,0.2,,,,,,,,,,,4.08044,0
China,2006,6,39.25,110.25,1192,BSV,BSV,1.241,0.215917506,0.093771781,32.3,21.9,479.61,0.2,,,,,,,,,,,3.37183,0
China,2006,6,39.25,110.25,1192,BSV,BSV,0.319,-1.142564176,-0.496209317,32.3,21.9,479.61,0.2,,,,,,,,,,,3.37183,0
China,2006,7,39.25,109.25,1350,BSV,BSV,1.27,0.2390169,0.103803721,89,23.1,533.61,0.2,,,,,,,,,,,4.08044,0
China,2006,7,39.25,109.25,1350,BSV,BSV,1.262,0.232697764,0.101059355,89,23.1,533.61,0.2,,,,,,,,,,,4.08044,0
China,2006,7,39.25,110.25,1192,BSV,BSV,3.706,1.309953128,0.568905415,90.8,23.9,571.21,0.3,,,,,,,,,,,3.37183,0
China,2006,7,39.25,110.25,1192,BSV,BSV,0.895,-0.110931561,-0.048176965,90.8,23.9,571.21,0.3,,,,,,,,,,,3.37183,0
China,2006,8,39.25,109.25,1350,BSV,BSV,1.286,0.251536626,0.109240969,90.6,21.1,445.21,0.2,,,,,,,,,,,4.08044,0
China,2006,8,39.25,109.25,1350,BSV,BSV,1.019,0.018821754,0.008174184,90.6,21.1,445.21,0.2,,,,,,,,,,,4.08044,0
China,2006,8,39.25,110.25,1192,BSV,BSV,4.446,1.492004816,0.647969458,93,21.7,470.89,0.3,,,,,,,,,,,3.37183,0
China,2006,8,39.25,110.25,1192,BSV,BSV,0.748,-0.290352301,-0.126098402,93,21.7,470.89,0.3,,,,,,,,,,,3.37183,0
China,2006,9,39.25,109.25,1350,BSV,BSV,0.447,-0.805196684,-0.349692477,43.1,14.7,216.09,0.2,,,,,,,,,,,4.08044,0
China,2006,9,39.25,109.25,1350,BSV,BSV,0.424,-0.858021824,-0.372634143,43.1,14.7,216.09,0.2,,,,,,,,,,,4.08044,0
China,2006,9,39.25,110.25,1192,BSV,BSV,1.452,0.372941916,0.161966616,41.7,15.7,246.49,0.1,,,,,,,,,,,3.37183,0
China,2006,9,39.25,110.25,1192,BSV,BSV,0.411,-0.889162064,-0.386158178,41.7,15.7,246.49,0.1,,,,,,,,,,,3.37183,0
China,2006,10,39.25,109.25,1350,BSV,BSV,0.424,-0.858021824,-0.372634143,8.3,11.6,134.56,0.2,,,,,,,,,,,4.08044,0
China,2006,10,39.25,109.25,1350,BSV,BSV,0.424,-0.858021824,-0.372634143,8.3,11.6,134.56,0.2,,,,,,,,,,,4.08044,0
China,2006,10,39.25,110.25,1192,BSV,BSV,2.273,0.821100545,0.356599436,12.2,12.2,148.84,0.1,,,,,,,,,,,3.37183,0
China,2006,10,39.25,110.25,1192,BSV,BSV,0.62,-0.478035801,-0.207608311,12.2,12.2,148.84,0.1,,,,,,,,,,,3.37183,0
China,2007,1,39.25,109.25,1350,BSV,BSV,0.597,-0.515838166,-0.224025669,0.7,-8.6,73.96,0.1,,,,,,,,,,,4.08044,0
China,2007,5,39.25,109.25,1350,BSV,BSV,0.391,-0.939047719,-0.407823243,40.9,17.5,306.25,0.2,,,,,,,,,,,4.08044,0
China,2007,6,39.25,109.25,1350,BSV,BSV,1.94,0.662687973,0.28780173,80,20.5,420.25,0.2,,,,,,,,,,,4.08044,0
China,2007,7,39.25,109.25,1350,BSV,BSV,0.994,-0.006018072,-0.002613616,77,21.7,470.89,0.2,,,,,,,,,,,4.08044,0
China,2007,8,39.25,109.25,1350,BSV,BSV,1.119,0.112435429,0.048830087,80.8,21.9,479.61,0.2,,,,,,,,,,,4.08044,0
